strategy_type,n_spaces,pct
erc20-balance-of,200,45.35
contract-call,49,11.11
erc721,44,9.98
ticket,34,7.71
eth-balance,34,7.71
delegation,33,7.48
multichain,18,4.08
with-delegation,15,3.4
erc20-votes,13,2.95
erc721-with-multiplier,10,2.27
erc20-balance-of-delegation,10,2.27
erc20-balance-of-weighted,9,2.04
api-v2,7,1.59
balance-of-with-min,7,1.59
math,6,1.36
comp-like-votes,6,1.36
pagination,5,1.13
erc1155-balance-of,5,1.13
whitelist,5,1.13
api-post,5,1.13
mutant-cats-stakers-and-holders,4,0.91
masterchef-pool-balance,4,0.91
erc20-balance-of-coeff,3,0.68
uniswap-v3,3,0.68
whitelist-weighted,2,0.45
balancer-poolid,2,0.45
aave-governance-power,2,0.45
spaceid,2,0.45
sablier-v2,2,0.45
split-delegation,2,0.45
erc20-balance-of-indexed,2,0.45
erc20-votes-with-override,2,0.45
uniswap,2,0.45
erc721-with-tokenid-range-weights-simple,2,0.45
erc20-token-and-lp-weighted,2,0.45
masterchef-pool-balance-price,2,0.45
xrc20-balance-of,2,0.45
yearn-vault,2,0.45
erc20-balance-of-with-delegation,1,0.23
uni,1,0.23
aavegotchi-agip-37-gltr-staked-lp,1,0.23
aavegotchi-agip,1,0.23
aavegotchi-agip-17,1,0.23
erc20-votes-starknet,1,0.23
strk-staked-balance,1,0.23
api,1,0.23
galxe-staking,1,0.23
delegation-with-cap,1,0.23
apecoin-staking,1,0.23
decentraland-wearable-rarity,1,0.23
decentraland-estate-size,1,0.23
decentraland-rental-lessors,1,0.23
thresholds,1,0.23
safe-vested,1,0.23
beacon-chain,1,0.23
ve-balance-of-at,1,0.23
synapse,1,0.23
hedgey-delegate,1,0.23
staked-uniswap,1,0.23
hedgey,1,0.23
reliquary,1,0.23
frax-finance-fraxtal,1,0.23
moonbeam-free-balance,1,0.23
citydao-square-root,1,0.23
hashflow-vehft,1,0.23
erc20-with-balance,1,0.23
erc20-balance-of-saevo,1,0.23
aura-vault-balance-of-single-asset,1,0.23
ve-ribbon,1,0.23
zrx-voting-power,1,0.23
lrc-lp-subgraph-balance-of,1,0.23
lrc-l2-subgraph-balance-of,1,0.23
gooddollar-multichain,1,0.23
iotex-staked-balance,1,0.23
opium,1,0.23
erc20-balance-of-cv,1,0.23
across-staked-acx,1,0.23
ocean-dao-brightid,1,0.23
morpho-delegation,1,0.23
erc721-enumerable,1,0.23
streamr,1,0.23
tokenlon,1,0.23
rocketpool-node-operator-delegate-v8,1,0.23
crucible-erc20-token-and-lp-weighted,1,0.23
delegation-with-overrides,1,0.23
nation3-passport-coop-with-delegations,1,0.23
mstable,1,0.23
push-voting-power,1,0.23
uniswap-v3-staking,1,0.23
unipool-univ2-lp,1,0.23
sunrisegaming-univ2-lp,1,0.23
jpegd-locked-jpeg-of,1,0.23
eth-with-balance,1,0.23
erc1155-balance-of-ids,1,0.23
erc1155-with-multiplier,1,0.23
botto-dao-base,1,0.23
botto-dao,1,0.23
fountainhead,1,0.23
harmony-staking,1,0.23
hopr-stake-and-balance-qv,1,0.23
floki,1,0.23
erc20-tokens-per-uni,1,0.23
clipper-staked-sail,1,0.23
planet-finance-v2,1,0.23
single-staking-autocompound-balanceof,1,0.23
anti-whale,1,0.23
erc721-with-tokenid-range-weights,1,0.23
csv,1,0.23
erc1155-balance-of-ids-weighted,1,0.23
